0,1
1,1
2,1
3,0
4,2
5,4
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,3
18,2
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,2
29,2
30,2
31,3
32,2
33,2
34,1
35,2
36,1
37,2
38,1
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,1
49,2
50,1
51,1
52,2
53,2
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,2
71,2
72,1
73,1
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,1
82,2
83,2
84,1
85,2
86,2
87,1
88,2
89,2
90,2
91,1
92,1
93,2
94,2
95,2
96,2
97,2
98,2
99,1
Average,1
